AL,90049,
AT,60429430,
BE,60159436.16,
BG,3204968,
BIH,122414.85,
CH,50150139,
CY,3968545,
CZ,11251349,
DE,346982787.46,
DK,18180665,
EE,1722117,
EL,68921140.52,
ES,102228828.77,
EU27,1468276148.42,
FI,50232302,
FR,185284107.14,
HR,564568.78,
HU,8978436,
IE,20853540,
IL,29211492,
IT,156598777.93,
LT,545537,
LU,1787034,
LV,209836,
ME,85612,
MK,296732,
MT,186442,
NL,85578374.78,
NO,16252746,
OTHER,12570321,
PL,10622081,
PT,23402358.12,
RO,7975572.54,
RS,1399320,
SE,60587183.29,
SI,7024317,
SK,2709113,
TR,5042353,
UK,168651869.71,
